FID,wkb_geometry,pk_class,pk_code,dc_id,construction_and_technical_condition,longitude,latitude,height,construction_type,material,standard_load_capacity_per_t,exclusive_load_capacity_per_t,exceptional_load_capacity_per_t,method_of_determination,subject_of_bridging,section_owner,section_manager,district,section_id,section_station_of_beginning_dc_m,kilometer_station_of_beginning_dc_km,cumulative_starting_station_dc_km
bridges_dc.700,POINT (48.837504541 21.419704573),cesta III. triedy,3440,M1307.01,Veľmi zlý,21.4197045730,48.8375045410,321.648499,dosková,monolitický železobetón,26,40,350,podľa tabuliek,Vodný tok,KE SK,SC KSK - KS,Košice - okolie,6086,558,0,30
bridges_dc.701,POINT (48.807895605 21.400910203),cesta III. triedy,3440,M753.01,Veľmi zlý,21.4009102030,48.8078956050,315.878249,dosková,prefabrikovaný železobetón,47,114,386,podľa tabuliek,Vodný tok,KE SK,SC KSK - KS,Košice - okolie,1315129,1,0,34
bridges_dc.702,POINT (48.798543812 21.391588854),cesta III. triedy,3440,M2558.01,Veľmi zlý,21.3915888540,48.7985438120,282.975000,dosková,prefabrikovaný železobetón,27,86,311,podľa tabuliek,Vodný tok,KE SK,SC KSK - KS,Košice - okolie,452561,15,0,36
bridges_dc.703,POINT (48.793554905 21.394697883),cesta III. triedy,3440,M2766.01,Zlý,21.3946978830,48.7935549050,288.642749,dosková,prefabrikovaný železobetón,30,98,325,podľa tabuliek,Vodný tok,KE SK,SC KSK - KS,Košice - okolie,452563,255,0,36
bridges_dc.704,POINT (48.784018528 21.39279834),cesta III. triedy,3440,M2374.01,Zlý,21.3927983400,48.7840185280,267.440749,trámová,prefabrikovaný železobetón,32,80,196,projektovaná,Vodný tok,KE SK,SC KSK - KS,Košice - okolie,452564,1,0,37
bridges_dc.705,POINT (48.762397687 21.358037946),cesta III. triedy,3440,M3760.01,Veľmi zlý,21.3580379460,48.7623976870,217.883000,dosková,monolitický železobetón,26,36,210,odhadom,Vodný tok,KE SK,SC KSK - KS,Košice - okolie,452564,5,0,41
bridges_dc.706,POINT (48.862740238 21.421430114),cesta III. triedy,3446,M7173.01,Zlý,21.4214301140,48.8627402380,356.872250,dosková,monolitický železobetón,20,90,378,statický výpočet,Vodný tok,KE SK,SC KSK - KS,Košice - okolie,1030097,1,0,18
bridges_dc.707,POINT (48.854122931 21.422843939),cesta III. triedy,3446,M1654.01,Zlý,21.4228439390,48.8541229310,347.249500,trámová,prefabrikovaný predpätý betón,30,69,171,podľa tabuliek,Vodný tok,KE SK,SC KSK - KS,Košice - okolie,1030097,2,0,20
bridges_dc.708,POINT (48.870909309 21.224841275),cesta III. triedy,3460,M7754.01,Veľmi zlý,21.2248412750,48.8709093090,255.129000,dosková,prefabrikovaný železobetón,39,71,336,podľa tabuliek,Vodný tok,KE SK,SC KSK - KS,Košice - okolie,5496,0,0,13
bridges_dc.709,POINT (48.753967766 21.683868853),cesta III. triedy,3650,M1613.01,Uspokojivý,21.6838688530,48.7539677660,121.232999,dosková,prefabrikovaný železobetón,26,36,243,podľa tabuliek,Vodný tok,KE SK,SC KSK - TV,Trebišov,184868,1,0,9
bridges_dc.710,POINT (48.741694961 21.647352247),cesta III. triedy,3652,M3837.01,Veľmi zlý,21.6473522470,48.7416949610,160.531499,dosková,monolitický železobetón,14,31,139,podľa tabuliek,Vodný tok,KE SK,SC KSK - TV,Trebišov,6074,929,0,4
bridges_dc.711,POINT (48.750237355 21.64395938),cesta III. triedy,3652,M823.01,Uspokojivý,21.6439593800,48.7502373550,156.958249,dosková,prefabrikovaný železobetón,25,64,156,podľa tabuliek,Kanál,KE SK,SC KSK - TV,Trebišov,6074,1,0,5
bridges_dc.712,POINT (48.761532429 21.660671824),cesta III. triedy,3652,M3032.01,Zlý,21.6606718240,48.7615324290,136.418000,dosková,monolitický železobetón,19,48,117,podľa tabuliek,Vodný tok,KE SK,SC KSK - TV,Trebišov,184877,1,0,7
bridges_dc.713,POINT (48.700848599 21.6547222),cesta III. triedy,3653,M6219.01,Veľmi zlý,21.6547222000,48.7008485990,130.662500,trámová,prefabrikovaný predpätý betón,30,68,154,podľa tabuliek,Vodný tok,KE SK,SC KSK - TV,Trebišov,1136649,29,0,0
bridges_dc.714,POINT (48.689652525 21.627666529),cesta III. triedy,3653,M7456.01,Uspokojivý,21.6276665290,48.6896525250,171.231000,dosková,monolitický železobetón,21,32,280,podľa tabuliek,Vodný tok,KE SK,SC KSK - TV,Trebišov,182939,25,0,2
bridges_dc.715,POINT (48.683664354 21.618842128),cesta III. triedy,3653,M6444.01,Uspokojivý,21.6188421280,48.6836643540,185.528500,trámová,oceľ -  plnostenná,25,64,156,podľa tabuliek,Vodný tok,KE SK,SC KSK - TV,Trebišov,182942,25,0,3
bridges_dc.716,POINT (48.659307406 21.610414172),cesta III. triedy,3653,M3216.01,Uspokojivý,21.6104141720,48.6593074060,169.940499,dosková,prefabrikovaný železobetón,36,78,358,podľa tabuliek,Vodný tok,KE SK,SC KSK - TV,Trebišov,182949,53,0,6
bridges_dc.717,POINT (48.658491725 21.59892308),cesta III. triedy,3653,M5194.01,Uspokojivý,21.5989230800,48.6584917250,171.535499,dosková,monolitický železobetón,26,43,378,podľa tabuliek,Vodný tok,KE SK,SC KSK - TV,Trebišov,182952,233,0,7
bridges_dc.718,POINT (48.65315743 21.584219594),cesta III. triedy,3653,M3383.01,Uspokojivý,21.5842195940,48.6531574300,178.907500,dosková,monolitický železobetón,26,43,378,podľa tabuliek,Vodný tok,KE SK,SC KSK - TV,Trebišov,182952,1,0,8
bridges_dc.719,POINT (48.700819479 21.647025654),cesta III. triedy,3654,M3395.01,Veľmi zlý,21.6470256540,48.7008194790,133.376999,trámová,prefabrikovaný železobetón,24,64,100,podľa tabuliek,Vodný tok,KE SK,SC KSK - TV,Trebišov,182935,19,0,0
bridges_dc.720,POINT (48.69215783 21.64676529),cesta III. triedy,3655,M3214.01,Dobrý,21.6467652900,48.6921578300,136.509000,dosková,monolitický železobetón,26,42,316,podľa tabuliek,Vodný tok,KE SK,SC KSK - TV,Trebišov,9230,665,0,0
bridges_dc.721,POINT (48.690686712 21.653474545),cesta III. triedy,3656,M1234.01,Zlý,21.6534745450,48.6906867120,129.373999,dosková,monolitický železobetón,26,49,253,podľa tabuliek,Vodný tok,KE SK,SC KSK - TV,Trebišov,184874,563,0,0
bridges_dc.722,POINT (48.526482046 21.581553157),cesta III. triedy,3658,M6081.01,Zlý,21.5815531570,48.5264820460,147.221500,dosková,monolitický železobetón,21,25,128,podľa tabuliek,Vodný tok,KE SK,SC KSK - TV,Trebišov,184789,47,0,0
